code,name,nmc,mktcap
601882,海天精工,1263240.0,1263240.0
601881,中国银河,6942637.231548,10917827.681289
601880,辽港股份,3283366.129352,4253204.737164
601878,浙商证券,4593450.577294,4929152.538445
601877,正泰电器,12502096.199065,12502096.199065
601872,招商轮船,3792562.462356,4564309.971828
601869,长飞光纤,1207231.130894,2251736.075868
601866,中远海发,3855012.75,5641548.75
601865,福莱特,2642925.580316,10635709.180316
601860,紫金银行,579109.69974,1208109.93402
601858,中国科传,694849.5,694849.5
601857,中国石油,96667480.457346,109263523.75735
601838,成都银行,4373647.84926,4388885.37081
601828,美凯龙,3049820.648824,3764420.0
601827,三峰环境,892510.956,1872947.088
601825,沪农商行,718511.111525,7185111.111525
601818,光大银行,13894669.007856,18154724.135856
601816,京沪高铁,13145102.362821,23620219.097891
601811,新华文轩,711129.7022,1107989.218
601808,中海油服,4570962.592,7367338.048
601801,皖新传媒,948850.659549,948850.659549
601800,中国交建,10396303.351125,14306654.611125
601799,星宇股份,5242788.697488,5242788.697488
601798,蓝科高新,210944.27781,210944.27781
601789,宁波建工,391412.120075,391412.120075
601788,光大证券,6184304.262137,7298876.832537
601778,晶科科技,1763828.429986,2801453.446986
601777,力帆科技,1728345.6,3456000.0
601766,中国中车,15521135.154624,18309875.288144
601728,中国电信,2569034.25192,40549855.593072
601727,上海电气,6922463.919324,8591166.187324
601718,际华集团,1352621.856432,1352621.856432
601717,郑煤机,1736450.54022,2069383.41742
601702,华峰铝业,352971.1,1268133.862
601700,风范股份,543951.36,543951.36
601699,潞安环能,4564890.4392,4564890.4392
601698,中国卫通,626131.273728,6144000.0
601696,中银证券,2176074.629291,4164222.0
601689,拓普集团,3846142.53628,3846142.53628
601688,华泰证券,12979006.468,16111053.75
601686,友发集团,146260.0,1481713.298
601678,滨化股份,2324788.190296,2324788.190296
601677,明泰铝业,2306632.77288,2309766.69528
601669,中国电建,10542603.85684,14472887.132704
601668,中国建筑,19997134.759248,20638498.579248
601666,平煤股份,2548836.393555,2571800.733555
601665,齐鲁银行,262023.667048,2620236.667048
601658,邮储银行,5580858.40191,45730063.964475
601636,旗滨集团,4918463.21714,4918463.21714
601633,长城汽车,33068489.09088,50244424.40288
601628,中国人寿,61700119.39,83748320.915
601619,嘉泽新能,1435158.553048,1478333.773048
601618,中国中冶,8962014.82334,10403256.82334
601616,广电电气,336807.0,336807.0
601615,明阳智能,3820233.034488,5055148.223808
601611,中国核建,2879649.17788,2905874.38898
601609,金田铜业,522768.3125,1295412.5625
601608,中信重工,2612330.414386,2612330.414386
601607,上海医药,3797796.66055,5613126.41095
601606,长城军工,839380.7156,839380.7156
601601,中国太保,18550062.34305,26071125.34305
601600,中国铝业,11600813.093921,15099110.907537
601599,浙文影业,286564.713444,372534.127413
601598,中国外运,775839.770594,4248061.42425
601595,上海电影,482263.2,482263.2
601588,北辰实业,643720.0,814818.84
601579,会稽山,628165.68,628165.68
601577,长沙银行,831102.81619,3357997.38459
601568,北元集团,348472.22308,3484722.22308
601567,三星医疗,2376579.356842,2376579.356842
601566,九牧王,814260.84155,814260.84155
601555,东吴证券,3923204.615988,3923204.615988
601528,瑞丰银行,151841.104952,1518411.048514
601519,大智慧,1566307.6,1598240.512
601518,吉林高速,372709.053396,372709.053396
601515,东风股份,1052852.773818,1052852.773818
601512,中新集团,747970.58,1405958.82
601500,通用股份,469292.06842,578240.606846
