code,name,nmc,mktcap,maxp5
603730,岱美股份,1613200.888941,1613200.888941,17.97
603729,龙韵股份,134126.706,134126.706,14.6
603728,鸣志电器,1207838.016,1214822.196,31.75
603727,博迈科,362725.034988,362725.034988,12.95
603726,朗迪集团,243945.6768,243945.6768,13.42
603725,天安新材,157915.688,159775.13,7.84
603722,阿科力,417135.2475,419022.1875,47.95
603721,中广天择,219310.0,219310.0,18.1
603719,良品铺子,899484.169335,1612421.0,41.3
603718,海利生物,685860.0,685860.0,11.25
603717,天域生态,224863.336,224863.336,8.13
603716,塞力医疗,273598.425855,276579.753849,15.49
603713,密尔克卫,1964614.9613,1981799.4663,120.69
603712,七一二,2895000.0,2895000.0,38.11
603711,香飘飘,544648.9308,544648.9308,13.52
603709,中源家居,134880.0,134880.0,17.56
603708,家家悦,748334.8536,748334.8536,12.6
603707,健友股份,2882111.860005,2886478.437675,18.25
603706,东方环宇,282369.626574,282369.626574,16.06
603703,盛洋科技,506741.17,506741.17,18.51
603701,德宏股份,547553.182595,547553.182595,22.6
603700,宁水集团,288400.398,288400.398,14.6
603699,纽威股份,834455.068,834455.068,11.4
603698,航天工程,700538.93,700538.93,13.28
603697,有友食品,369953.665116,373628.637165,12.37
603696,安记食品,232142.4,232142.4,10.43
603693,江苏新能,1096641.0,1216864.5762,14.2
603690,至纯科技,1360057.068558,1365860.188558,43.74
603689,皖天然气,417718.782192,417718.782192,10.09
603688,石英股份,5109542.393018,5109542.393018,143.71
603687,大胜达,388507.228623,388507.228623,10.79
603686,福龙马,389885.081306,389885.081306,9.39
603685,晨丰科技,174747.889118,174747.889118,10.5
603683,晶华新材,191967.15384,194136.46272,9.14
603682,锦和商管,103420.8,272160.0,5.96
603681,永冠新材,446097.118914,446097.118914,23.85
603680,今创集团,692807.390028,692807.390028,8.89
603679,华体科技,185177.415984,213436.674888,13.33
603678,火炬电子,1881460.47726,1883146.59351,42.24
603677,奇精机械,228265.969536,228265.969536,12.02
603676,卫信康,612757.656,621410.622,15.4
603669,灵康药业,443555.48691,443555.48691,6.3
603668,天马科技,762253.477425,820369.889856,19.43
603667,五洲新春,474805.671327,481885.472007,15.35
603666,亿嘉和,787446.65832,794541.4147,39.47
603665,康隆达,584725.717203,584725.717203,37.9
603663,三祥新材,415588.510287,417434.907287,14.09
603662,柯力传感,446800.319988,450250.282572,16.05
603661,恒林股份,422485.640178,422485.640178,30.72
603660,苏州科达,294044.722545,294044.722545,6.09
603659,璞泰来,8120563.376388,8147913.745724,59.15
603658,安图生物,3456074.94912,3456074.94912,64.14
603657,春光科技,210201.6,214515.894,15.87
603656,泰禾智能,182454.72,183516.12,12.34
603655,朗博科技,239878.0,239878.0,22.95
603650,彤程新材,2073287.26531,2080461.00219,35.15
603648,畅联股份,348641.1136,348641.1136,9.63
603639,海利尔,862587.626948,878241.758548,27.15
603638,艾迪精密,1234920.884736,1325782.355124,16.47
603637,镇海股份,222965.711295,222965.711295,9.29
603636,南威软件,930499.88535,930499.88535,16.7
603633,徕木股份,405001.3444,504621.713518,16.07
603630,拉芳家化,323168.5723,323553.755,14.88
603629,利通电子,358176.0,358176.0,19.77
603628,清源股份,475043.0,475043.0,18.58
603626,科森科技,405062.1737,406908.4532,7.38
603619,中曼石油,774000.1935,774000.1935,20.45
603618,杭电股份,405649.883153,405649.883153,5.93
603617,君禾股份,326748.43431,334153.059,9.43
603616,韩建河山,220049.336,220049.336,5.95
603615,茶花股份,191521.44,191521.44,8.11
603613,国联股份,4936688.5491,4936688.5491,112.88
603612,索通发展,1387411.399314,1467528.897024,31.9
603611,诺力股份,472382.609712,472382.609712,18.05
603610,麒盛科技,281913.316518,485394.445854,13.9
603609,禾丰股份,1245140.528364,1245140.528364,14.25
603607,京华激光,248673.9024,248673.9024,14.14
603606,东方电缆,4668211.917984,4668211.917984,71.68
603605,珀莱雅,4733192.501763,4768512.401763,175.98
603602,纵横通信,238095.482496,238095.482496,12.42
603601,再升科技,562998.173304,562998.173304,5.64
603600,永艺股份,328528.72704,328528.72704,11.25
603599,广信股份,1974557.911176,1981978.425672,30.89
603598,引力传媒,239469.4326,239469.4326,9.43
603596,伯特利,3301257.46724,3319346.70724,86.9
603595,东尼电子,1106717.48892,1422547.03512,61.2
603590,康辰药业,410560.0,410560.0,26.95
603589,口子窖,3300000.0,3300000.0,56.5
603588,高能环境,1343219.022016,1641458.317032,10.89
603587,地素时尚,729541.8396,734124.4176,15.51
603586,金麒麟,286237.0588,286237.0588,14.8
603585,苏利股份,351003.7401,351003.7401,19.81
603583,捷昌驱动,1041803.758413,1052397.711915,27.89
